City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,cap malheureux,-19.9842,57.6142,300.08,78,100,3.58,MU,1676839090
140,leningradskiy,69.3833,178.4167,240.75,96,100,3.17,RU,1676839091
141,mahebourg,-20.4081,57.7,300.31,89,75,4.63,MU,1676839091
142,obihiro,42.9172,143.2044,269.85,95,100,5.82,JP,1676839092
143,lebu,-37.6167,-73.65,289.61,77,2,8.87,CL,1676839033
144,kempele,64.9131,25.5034,267.66,72,40,3.13,FI,1676839093
145,namibe,-15.1961,12.1522,293.82,73,100,5.06,AO,1676839093
146,klaksvik,62.2266,-6.589,280.66,76,90,17.79,FO,1676839094
147,abonnema,4.7084,6.7931,301.31,73,36,4.51,NG,1676839094
148,hofn,64.2539,-15.2082,274.16,100,75,2.57,IS,1676839095
149,havre-saint-pierre,50.2334,-63.5986,266.15,53,0,5.66,CA,1676839096
150,cabedelo,-6.9811,-34.8339,302.52,71,84,4.71,BR,1676839096
151,akureyri,65.6835,-18.0878,274.11,93,100,5.14,IS,1676839097
152,bambous virieux,-20.3428,57.7575,300.29,89,75,4.63,MU,1676839097
153,quetigny,47.3167,5.1167,281.22,81,0,2.57,FR,1676839098
154,isangel,-19.55,169.2667,300.17,67,15,6.04,VU,1676839098
155,saskylakh,71.9167,114.0833,252.92,98,36,3.04,RU,1676839099
156,kapaa,22.0752,-159.319,299.14,87,100,3.09,US,1676839099
157,seoul,37.5683,126.9778,271.84,77,0,1.54,KR,1676838852
158,kamyshla,54.1169,52.1426,255.26,98,12,3.26,RU,1676839100
159,richards bay,-28.783,32.0377,298.09,86,75,5.22,ZA,1676839101
160,ojinaga,29.5667,-104.4167,294.58,25,0,0.0,MX,1676839101
161,lewistown,40.5992,-77.5714,286.59,65,75,2.06,US,1676839102
162,dharchula,29.85,80.5333,286.96,41,31,3.19,IN,1676838902
163,gat,31.61,34.7642,285.53,80,0,2.55,IL,1676839025
164,ossora,59.2353,163.0719,249.8,89,100,2.12,RU,1676839103
165,san cristobal,7.7669,-72.225,298.25,37,6,0.8,VE,1676839104
166,la serena,-29.9078,-71.2542,295.88,64,0,6.17,CL,1676839105
167,mount gambier,-37.8333,140.7667,286.87,93,3,1.1,AU,1676839105
168,megion,61.0296,76.1136,259.16,95,100,3.7,RU,1676839106
169,udachnyy,66.4167,112.4,249.52,98,100,1.96,RU,1676839106
170,honningsvag,70.9821,25.9704,273.01,86,100,10.8,NO,1676839107
171,banjar,-8.19,114.9675,298.29,90,100,2.29,ID,1676839108
172,madras,13.0878,80.2785,299.24,80,20,0.0,IN,1676839100
173,mayumba,-3.432,10.6554,298.86,87,98,2.07,GA,1676839108
174,rio claro,-22.4114,-47.5614,291.72,93,100,4.16,BR,1676839109
175,suoyarvi,62.0833,32.35,261.93,96,100,3.09,RU,1676839109
176,usinsk,65.9939,57.5281,251.76,100,96,2.64,RU,1676839110
177,havoysund,70.9963,24.6622,273.28,71,100,9.78,NO,1676839111
178,villa carlos paz,-31.4241,-64.4978,300.03,27,0,3.58,AR,1676839112
179,boa vista,2.8197,-60.6733,305.14,43,40,5.66,BR,1676839112
180,norman wells,65.282,-126.8329,250.17,70,100,2.06,CA,1676839113
181,jawhar,2.7809,45.5005,296.75,72,100,7.53,SO,1676839113
182,norsup,-16.0667,167.3833,300.84,78,24,3.81,VU,1676839114
183,lavrentiya,65.5833,-171.0,249.27,90,100,2.72,RU,1676839114
184,lompoc,34.6391,-120.4579,294.7,29,0,2.24,US,1676839115
185,cockburn town,21.4612,-71.1419,297.95,68,1,8.71,TC,1676838897
186,vila,42.0304,-8.1588,282.64,59,7,2.0,PT,1676839116
187,ulladulla,-35.35,150.4667,294.15,82,3,2.54,AU,1676839117
188,iberia,29.9502,-91.7507,294.19,60,20,4.63,US,1676839117
189,ornskoldsvik,63.2909,18.7153,271.68,100,100,2.57,SE,1676839118
190,zhigansk,66.7697,123.3711,239.51,98,97,5.21,RU,1676839118
191,saint george,37.1041,-113.5841,287.28,33,0,1.54,US,1676839119
192,la reforma,25.0833,-108.05,298.27,35,40,4.53,MX,1676839119
193,okhotsk,59.3833,143.3,245.43,82,1,4.21,RU,1676839120
194,lincoln,40.8,-96.667,282.74,58,0,3.09,US,1676839118
195,homer,59.6425,-151.5483,274.09,83,75,4.92,US,1676839120
196,abong mbang,3.9833,13.1833,297.18,24,56,0.94,CM,1676839121
197,salalah,17.0151,54.0924,300.2,24,0,10.29,OM,1676839121
198,kamensk-uralskiy,56.4185,61.9329,248.46,100,100,1.73,RU,1676839122
199,la peca,-5.6111,-78.435,301.54,52,88,2.02,PE,1676839122
200,spokane,47.6166,-117.3677,279.3,72,100,7.72,US,1676838984
201,hermanus,-34.4187,19.2345,291.93,78,3,8.59,ZA,1676839123
